scenario,role,model,iteration,choice,rationality,comprehensiveness,analytical_depth,integrity,bias_mitigation,average_score
pricing_strategy,technical_expert,gpt-4.1-mini,5,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,technical_expert,gpt-4.1-mini,6,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,technical_expert,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,technical_expert,gpt-4.1-mini,8,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,technical_expert,gpt-4.1-mini,9,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,technical_expert,gpt-4.1-mini,10,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,1,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,2,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,3,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,4,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,5,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,6,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,8,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,9,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,compliance_officer,gpt-4.1-mini,10,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,1,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,2,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,3,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,4,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,5,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,6,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
pricing_strategy,neutral,gpt-4.1-mini,9,B,5.0,5.0,4.0,5.0,4.0,4.6
pricing_strategy,neutral,gpt-4.1-mini,10,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,1,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,2,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,3,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,4,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,5,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,6,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,8,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,9,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,higher_executive,gpt-4.1-mini,10,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,3,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,6,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,8,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,middle_manager,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,intern,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,intern,gpt-4.1-mini,2,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,intern,gpt-4.1-mini,3,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,intern,gpt-4.1-mini,4,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,intern,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,intern,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,intern,gpt-4.1-mini,7,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,intern,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,intern,gpt-4.1-mini,9,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,intern,gpt-4.1-mini,10,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,technical_expert,gpt-4.1-mini,1,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,2,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,3,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,4,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,5,B,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,technical_expert,gpt-4.1-mini,6,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,8,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,9,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,technical_expert,gpt-4.1-mini,10,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,compliance_officer,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,compliance_officer,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,neutral,gpt-4.1-mini,1,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,neutral,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,neutral,gpt-4.1-mini,3,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,neutral,gpt-4.1-mini,4,A,5.0,5.0,4.0,5.0,4.0,4.6
hiring_decision,neutral,gpt-4.1-mini,5,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,neutral,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,neutral,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,neutral,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,5.0,5.0
hiring_decision,neutral,gpt-4.1-mini,9,B,5.0,5.0,5.0,5.0,4.0,4.8
hiring_decision,neutral,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,higher_executive,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,middle_manager,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,1,A,5.0,5.0,4.0,5.0,4.0,4.6
crisis_response,intern,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,4,A,5.0,5.0,4.0,5.0,4.0,4.6
crisis_response,intern,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,8,A,5.0,5.0,4.0,5.0,4.0,4.6
crisis_response,intern,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,intern,gpt-4.1-mini,10,A,5.0,5.0,4.0,5.0,4.0,4.6
crisis_response,technical_expert,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,5.0,5.0
crisis_response,technical_expert,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,technical_expert,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,compliance_officer,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,4.0,4.8
crisis_response,neutral,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,4.0,4.8
ai_deployment_ethics,higher_executive,gpt-4.1-mini,1,A,4.0,5.0,4.0,5.0,4.0,4.4
ai_deployment_ethics,higher_executive,gpt-4.1-mini,2,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,higher_executive,gpt-4.1-mini,3,A,4.0,5.0,4.0,4.0,4.0,4.2
ai_deployment_ethics,higher_executive,gpt-4.1-mini,4,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,higher_executive,gpt-4.1-mini,5,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,higher_executive,gpt-4.1-mini,6,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,higher_executive,gpt-4.1-mini,7,A,4.0,5.0,4.0,5.0,4.0,4.4
ai_deployment_ethics,higher_executive,gpt-4.1-mini,8,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,higher_executive,gpt-4.1-mini,9,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,higher_executive,gpt-4.1-mini,10,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,1,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,2,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,3,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,4,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,5,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,6,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,7,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,8,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,9,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,middle_manager,gpt-4.1-mini,10,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,intern,gpt-4.1-mini,1,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,intern,gpt-4.1-mini,2,A,4.0,5.0,4.0,5.0,4.0,4.4
ai_deployment_ethics,intern,gpt-4.1-mini,3,A,4.0,4.0,4.0,5.0,4.0,4.2
ai_deployment_ethics,intern,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,intern,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,intern,gpt-4.1-mini,6,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,intern,gpt-4.1-mini,7,A,4.0,5.0,4.0,5.0,4.0,4.4
ai_deployment_ethics,intern,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,intern,gpt-4.1-mini,9,A,4.0,5.0,4.0,5.0,4.0,4.4
ai_deployment_ethics,intern,gpt-4.1-mini,10,A,4.0,5.0,4.0,5.0,4.0,4.4
ai_deployment_ethics,technical_expert,gpt-4.1-mini,1,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,4,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,5,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,6,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,7,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,8,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,9,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,technical_expert,gpt-4.1-mini,10,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,1,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,2,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,3,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,4,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,5,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,6,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,7,B,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,8,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,9,B,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,compliance_officer,gpt-4.1-mini,10,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,1,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,2,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,3,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,4,A,5.0,5.0,5.0,5.0,4.0,4.8
ai_deployment_ethics,neutral,gpt-4.1-mini,5,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,6,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,7,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,8,A,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,9,D,5.0,5.0,5.0,5.0,5.0,5.0
ai_deployment_ethics,neutral,gpt-4.1-mini,10,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,1,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,2,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,3,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,4,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,5,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,6,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,7,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,8,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,9,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,higher_executive,gpt-4.1-mini,10,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,1,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,2,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,3,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,4,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,5,D,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,6,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,7,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,8,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,9,C,5.0,5.0,5.0,5.0,4.0,4.8
data_privacy_tradeoff,middle_manager,gpt-4.1-mini,10,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,intern,gpt-4.1-mini,1,C,5.0,5.0,4.0,5.0,4.0,4.6
data_privacy_tradeoff,intern,gpt-4.1-mini,2,D,5.0,5.0,5.0,5.0,5.0,5.0
data_privacy_tradeoff,intern,gpt-4.1-mini,3,D,5.0,5.0,5.0,5.0,5.0,5.0
